Marker.Name,Alternate1,Alternate2,Alternate3,Alternate4,Alternate5,Alternate6,Alternate7,Alternate8,Alternate9,Alternate10
PD1,PD1,CD279,Pd1,PD1 (CD279),PD.1,PD_1,,,,
PDCA1,"PDCA1,PDCA.1,PDCA-1",,,,,,,,,
PDL1,B7-H1,PDL1,CD274,Pdl1,PD-L1,PD_L1,,,,
PDL2,B7-DC,PDL2,CD273,Pdl2,PD-L2,PD_L2,,,,
Perforin,Perforin,Perf,Perforin,,,,,,,
pSTAT3,pSTAT3,pSTAT3,Pstat3,,,,,,,
pSTAT5,pSTAT5,pSTAT5,Pstat5,,,,,,,
RFP,RFP,tdT,Rfp,Red Fluorescent Protein,dsRed,ROSA-RFP,,,,
RORgT,RORgT,RORgamma,Rorgt,RORc,ROR-gamma,ROR-g,,,,
Sca1,Sca1,Ly-6A/E,Sca.1,Sca-1,Sca_1,,,,,
SiglecF,SiglecF,Siglec-F,Siglec F,Siglec.F,Siglec_F,,,,,
ST2,ST2,IL-33R,IL33R,,,,,,,
Tbet,Tbet,T.bet,T-bet,,,,,,,
TCRbeta,TCRbeta,TCR-beta,Tcrbeta,TCR-b,TCR-beta,,,,,
TCRgd,TCRg,TCRgamma,Tcrg,gdTCR,gd TCR,TCR-gamma,TCR-gd,TCRgd,TCR gd,
TER119,TER119,TER-119,Ter119,TER_119,TER.119,,,,,
TGFbeta,"TGFbeta,TGFb,TGF-b,TGF-beta",,,,,,,,,
TIGIT,TIGIT,TIGIT,Tigit,,,,,,,
TIM3,TIM3,TIM-3,TIM.3,Tim3,,,,,,
TNF,TNF,TNF.alpha,Tnf,TNFa,TNF-a,TNF-alpha,TNF.alpha,TNF_alpha,TNF_a,TNF.a
TREM2,TREM2,,,,,,,,,
viability,"viability,live/dead,live-dead,dead,viakrome,fixable",,,,,,,,,
XCR1,XCR1,,,,,,,,,
YFP,YFP,Yellow Fluorescent Protein,Yfp,,,,,,,
ZAP70,ZAP70,ZAP-70,Zap70,Zap.70,ZAP_70,,,,,
TCF1,TCF1,TCF1/7,Tcf1,TCF7,TCF1 (TCF7),,,,,
